ID,展开类型,枚举对象,源用例,优先级,执行要点,预期结果,生成时间,requiredEvidence,designCaseId,expandedCaseId,design_status,terminalType,terminal,agent,OS,Node/npm,shell,TTY,installLayout,mcpTransport,hookSupport,owner,依赖,执行状态,执行时间,evidencePath,blockedReason
EXP-D5-8-1,D5客户端矩阵,Hermes,D5-1,P1,在 Hermes 上执行 D5-1 用例,Hermes：客户端可发现并加载插件清单,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D5-1,EXP-D5-8-1,DESIGN_COVERED,10客户端矩阵,Hermes,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260920191708,evidence/d1-upgrade,
EXP-D5-8-3,D5客户端矩阵,Hermes,D5-3,P1,在 Hermes 上执行 D5-3 用例,Hermes：tools/list 枚举 40 工具全量可达，schema 完整,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D5-3,EXP-D5-8-3,DESIGN_COVERED,10客户端矩阵,Hermes,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260920191708,evidence/d1-upgrade,
EXP-C4-01,D3-C4服务矩阵,ECS,D3-C4,P1,ECS 只读规划冒烟: list_operations + plan 只读命令,ECS 只读规划冒烟命令语法/参数正确；轻量创建→立即释放→归零验证,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-01,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260920191708,evidence/c4-service-matrix,
EXP-C4-02,D3-C4服务矩阵,VPC,D3-C4,P1,VPC 只读规划冒烟: list_operations + plan 只读命令,VPC 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-02,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260920191708,evidence/c4-service-matrix,
EXP-C4-03,D3-C4服务矩阵,OBS,D3-C4,P1,OBS 只读规划冒烟: list_operations + plan 只读命令,OBS 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-03,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260920191708,evidence/c4-service-matrix,
EXP-C4-04,D3-C4服务矩阵,RDS,D3-C4,P1,RDS 只读规划冒烟: list_operations + plan 只读命令,RDS 只读规划冒烟命令语法/参数正确；轻量创建→立即释放→归零验证,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-04,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260920191708,evidence/c4-service-matrix,
EXP-C4-05,D3-C4服务矩阵,GaussDB,D3-C4,P1,GaussDB 只读规划冒烟: list_operations + plan 只读命令,GaussDB 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-05,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260920191708,evidence/c4-service-matrix,
EXP-C4-06,D3-C4服务矩阵,CCE,D3-C4,P1,CCE 只读规划冒烟: list_operations + plan 只读命令,CCE 只读规划冒烟命令语法/参数正确；轻量创建→立即释放→归零验证,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-06,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260920191708,evidence/c4-service-matrix,
EXP-C4-07,D3-C4服务矩阵,FunctionGraph,D3-C4,P1,FunctionGraph 只读规划冒烟: list_operations + plan 只读命令,FunctionGraph 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-07,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260920191708,evidence/c4-service-matrix,
EXP-C4-08,D3-C4服务矩阵,IAM,D3-C4,P1,IAM 只读规划冒烟: list_operations + plan 只读命令,IAM 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-08,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260920191708,evidence/c4-service-matrix,
