sourceAsset,requirementOrRisk,designCaseId,expandedCaseId,testLayer,clientOrOSScope,requiredEvidence,design_status,owner,gap,执行时间
v1.5规划(v1.3基线),全新环境引导安装,D1-1,由EXP-D5客户端矩阵覆盖(D5-1~7逐客户端),安装/生命周期,<代表: 逐客户端 10+>,未安装→指引→装好闭环，插件引导完成全流程,DESIGN_COVERED,测试负责人,,20260920092100
v1.5规划(v1.3基线),多Agent探测,D1-2,由EXP-D7 OS矩阵覆盖(OS×Node),安装/生命周期,<代表: Windows/Linux>,auto-detect 覆盖全部共存客户端,DESIGN_COVERED,测试负责人,,20260920092100
v1.5规划(v1.3基线),doctor健康自检,D1-3,由EXP-D7 OS矩阵覆盖(OS×Node),安装/生命周期,<代表: Windows/Linux>,检测项准确，失败场景如实报告且给出修复指引,DESIGN_COVERED,测试负责人,,20260920092100
v1.5规划(v1.3基线),status/update幂等,D1-4,由EXP-D7 OS矩阵覆盖(OS×Node),安装/生命周期,<代表: Windows/Linux>,增量刷新，不碰用户config,DESIGN_COVERED,测试负责人,,20260920092100
v1.5规划(v1.3基线),uninstall干净度,D1-5,由EXP-D7 OS矩阵覆盖(OS×Node),安装/生命周期,<代表: Windows 重点>,卸载后无功能残留,DESIGN_COVERED,测试负责人,,20260920092100
v1.5规划(v1.3基线),install-hcloud,D1-6,由EXP-D7 OS矩阵覆盖(OS×Node),安装/生命周期,<代表: Windows/Linux>,KooCLI安装引导成功，含镜像/沙箱提示,DESIGN_COVERED,测试负责人,,20260920092100
v1.5规划(v1.3基线),OpenClaw插件流,D1-7,由EXP-D7 OS矩阵覆盖(OS×Node),安装/生命周期,<代表: Windows/Linux>,双通道均可用，风险确认参数生效,DESIGN_COVERED,测试负责人,,20260920092100
v1.5规划(v1.3基线),通用MCP通道,D1-8,由EXP-D7 OS矩阵覆盖(OS×Node),安装/生命周期,<代表: Windows/Linux>,标准npx MCP配置直接可用,DESIGN_COVERED,测试负责人,,20260920092100
v1.5规划(v1.3基线),重启生效语义,D1-9,由EXP-D5客户端矩阵覆盖(D5-1~7逐客户端),安装/生命周期,<代表: 逐客户端 10+>,重启前不可用/重启后可用，跨客户端一致,DESIGN_COVERED,测试负责人,,20260920092100
v1.5规划(v1.3基线),卸载全局清理(新flag),D1-10,由EXP-D5客户端矩阵覆盖(D5-1~7逐客户端),安装/生命周期,<代表: 全客户端+Windows>,KooCLI二进制+配置+OBS配置全清，目录归零,DESIGN_COVERED,测试负责人,,20260920092100
