ID,维度,标题,优先级,前置条件,测试数据,操作步骤,预期结果,指引来源,关联工具,自动化建议,展开规则,生成时间,设计状态,终端覆盖类型,terminal,agent,OS,Node/npm,shell,TTY,installLayout,mcpTransport,hookSupport,requiredEvidence,owner,依赖,执行状态,执行时间,evidencePath,blockedReason
D1-3,D1安装,doctor健康自检,P1,已安装环境(含部分组件异常环境),doctor 命令,①干净环境跑doctor ②人为制造组件缺失(如删MCP Python SDK)跑doctor,检测项准确，失败场景如实报告且给出修复指引,P: README doctor 命令+自曝FAIL场景(权威契约),doctor,脚本,OS_MATRIX|<代表: Windows/Linux>|<证据: doctor 检测项准确+失败场景报告>|<阻塞: 无>,2026-09-05,DESIGN_COVERED,OS_MATRIX,<代表: Windows/Linux>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: doctor 检测项准确+失败场景报告>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-3,
D1-4,D1安装,status/update幂等,P2,已安装+存在用户自定义config,status、update 命令,①status核对输出 ②update ③核对用户config未被触碰 ④重复update幂等,增量刷新，不碰用户config,P: README 'incremental...without touching your config',status/update,脚本,OS_MATRIX|<代表: Windows/Linux>|<证据: 增量刷新不碰 config+重复 update 幂等>|<阻塞: 无>,2026-09-05,DESIGN_COVERED,OS_MATRIX,<代表: Windows/Linux>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 增量刷新不碰 config+重复 update 幂等>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-4,
D1-26,D1安装,升级提醒工具注册与协议暴露,P1,dev/1.1.2 代码,tools/list 输出工具清单,①spawn mcp-server.mjs ②initialize ③tools/list ④检查 huaweicloud_check_update / huaweicloud_upgrade,两工具均注册且 schema 含 description/inputSchema,设: 设计文档 §MCP Tool 定义; 实: update-check.mjs,check_update/upgrade,脚本,COMMON|<代表: MCP Inspector+进程>|<证据: tools/list 两工具注册+schema>|<阻塞: 无>,2026-09-10,DESIGN_COVERED,COMMON,<代表: MCP Inspector+进程>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: tools/list 两工具注册+schema>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-26,
D1-27,D1安装,检测语义-已是最新,P1,current == latest,"current=1.1.2, distTags={latest:1.1.2}","①直调 judgeUpdate(current, distTags, null) ②检查 result","result=up_to_date, updateAvailable=false",设: §版本比对规则; 实: judgeUpdate,check_update,脚本,OS_MATRIX|<代表: Windows/Linux>|<证据: result=up_to_date/updateAvailable=false>|<阻塞: 无>,2026-09-10,DESIGN_COVERED,OS_MATRIX,<代表: Windows/Linux>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: result=up_to_date/updateAvailable=false>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-27,
D1-28,D1安装,检测语义-有新版本,P1,current < latest,"current=1.1.1, distTags={latest:1.1.2}",①直调 judgeUpdate ②检查 result/targetVersion,"result=update_available, updateAvailable=true, targetVersion=1.1.2",设: §检测机制; 实: judgeUpdate,check_update,脚本,OS_MATRIX|<代表: Windows/Linux>|<证据: update_available+targetVersion=1.1.2>|<阻塞: 无>,2026-09-10,DESIGN_COVERED,OS_MATRIX,<代表: Windows/Linux>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: update_available+targetVersion=1.1.2>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-28,
D1-30,D1安装,semver 比对正确性,P2,无,相等/反向/正式版>pre/乱串,①直调 semverCompare 多组输入 ②核对大小关系,1.1.2>1.1.1、1.1.0 > 1.1.0-next.9、相等=0、无效串按字典序,实: update-check.mjs semverParse/Compare,check_update,脚本,OS_MATRIX|<代表: Windows/Linux>|<证据: semverCompare 多组大小关系>|<阻塞: 无>,2026-09-10,DESIGN_COVERED,OS_MATRIX,<代表: Windows/Linux>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: semverCompare 多组大小关系>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-30,
D1-31,D1安装,dismiss 冷却期,P1,已有旧版本提醒,dismiss=true + dismissVersion 拒绝,"①check_update(dismiss:true, dismissVersion) ②写 skip 文件 ③冷却期内再查","冷却期内 result=dismissed, dismissed=true, 3 天后 expireAt 过期重新提醒",设: §冷却机制; 实: writeSkipState/judgeUpdate,check_update,脚本,OS_MATRIX|<代表: Windows/Linux>|<证据: 冷却期 result=dismissed+3 天 expireAt>|<阻塞: 无>,2026-09-10,DESIGN_COVERED,OS_MATRIX,<代表: Windows/Linux>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 冷却期 result=dismissed+3 天 expireAt>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-31,
D1-33,D1安装,skip 文件持久化与多路径,P2,可注入路径,插件目录无 package.json / HUAWEICLOUD_HOME 设置,①writeSkipState 正常写 ②resolveSkipFilePath 插件目录/回退路径 ③检查结构与原子性,"文件{ dismissedVersion/dismissedAt/expireAt }, 插件目录无副本时回退共享路径",实: skipFilePath/fallbackSkipFilePath/resolveSkipFilePath,check_update,脚本,OS_MATRIX|<代表: Windows/Linux>|<证据: skip 文件字段+回退路径+原子写>|<阻塞: 无>,2026-09-10,DESIGN_COVERED,OS_MATRIX,<代表: Windows/Linux>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: skip 文件字段+回退路径+原子写>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-33,
D1-39,D1安装,Windows 升级检测链可用性,P0,Windows 10 + 1.1.2,npm.cmd spawnSync 无 shell:true,①本机直调 queryDistTagsSync/queryDistTags ②观察 EINVAL/结果 ③对照加 shell:true 版本,Windows 下检测链真实可用，不得 EINVAL 静默失败,实: queryDistTagsSync; 关联 #554,check_update,脚本,OS_MATRIX|<代表: Windows/Linux>|<证据: Windows 检测链无 EINVAL 静默失败>|<阻塞: 无>,2026-09-10,DESIGN_COVERED,OS_MATRIX,<代表: Windows/Linux>,Hermes 代表终端; fake/fixture,Windows（升级检测链 EINVAL 专属；Linux/macOS 由 NR3 终端矩阵按负面/环境验证）,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: Windows 检测链无 EINVAL 静默失败>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,NOT_RUN,20260923165524,,
D1-40,D1安装,镜像 lag 下检测正确性(反向提醒防护),P0,默认 registry=镜像且滞后,镜像 latest 滞后于官方,①设置 npm_config_registry=镜像 ②queryDistTags ③判定结果与官方源对照,不得提示版本倒退(远端<=本地不提示); 建议固定官方源/校验,关联 #518/#566; 实: queryDistTags 默认 registry,check_update,脚本,OS_MATRIX|<代表: Windows/Linux>|<证据: 镜像 lag 不提示版本倒退>|<阻塞: 无>,2026-09-10,DESIGN_COVERED,OS_MATRIX,<代表: Windows/Linux>,Hermes 代表终端; fake/fixture,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 镜像 lag 不提示版本倒退>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D1-40,
