﻿caseId,terminal,agent,os,arch,node,npm,shell,ttyMode,installLayout,mcpTransport,hookSupport,executionLevel,requiredEvidence,status,blockedReason
D1-26,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a(函数级),mcp-stdio,tools/list=39 含 check_update/upgrade 且 schema 完整,PASS,
D1-27,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,mcp-stdio,up_to_date 四态字段语义一致,PASS,
D1-28,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,mcp-stdio,update_available target=1.1.3 正确,PASS,
D1-29,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a(函数级),function,pre 用户 latest<current 时提醒 next=1.1.0-next.9（文档表该行为 ❌）,SPEC-MISMATCH,开发裁决 pre 提醒策略后更新文档或实现并重生成矩阵；当前不计 PASS
D1-30,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,function,semver 6 组（含 pre/稳定边界）比对正确,PASS,
D1-31,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,function,skip 文件 3 天精确 + 冷却内 dismissed,PASS,
D1-32,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,function,新版本 > dismissedVersion 无视冷却,PASS,
D1-33,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,function,回退路径 + 坏 JSON 容错,PASS,
D1-34,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,function,check_failed 不阻塞返回结构化结果,PASS,
D1-35,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,function,5min 节流/1h TTL/SKIP env（时钟注入）,PASS,
D1-36,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,function,applyUpdateHint 一次性语义（check/upgrade 不附加）,PASS,
D1-37,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,function,SKILL.md 会话启动节含先调 check_update 指令,PASS,
D1-38,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,none,stdio,n/a,function,mock 命令链 + manual/officeace 文案 + 失败不崩溃,PASS,真实升级链见 D1-52
D1-39,OS_MATRIX,probe(stdio+真实安装),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback+runtime-dep,stdio,n/a,mcp-stdio+real-install,spawnSync('npm.cmd') EINVAL 直捕；sync/async 双路径静默 null；MCP 端到端 check_update=check_failed/upgrade=失败；真实 1.1.2 存量用户态复现,FAIL,Windows P0（#554 当前态）；FIX(sim) 补丁副本通过仅证明修复方向，等待上游固定修复版本回归
D1-39,OS_MATRIX,probe(stdio),linux,x64,声明>=22,声明npm,声明bash,non-tty,none,stdio,n/a,function,Linux spawn 无 EINVAL（npm 非 .cmd），需真机确认 npm view/升级链,PASS,2026-09-10T20:34+08:00 Ubuntu24.04-aarch64 实机补跑(testbot3/1.94.218.129)：Linux 语义无 EINVAL 缺陷（npm 直启正常，npm.cmd 概念不存在）；同套探针通用断言 54 PASS；5 项 FAIL 全为探针 Windows 专测断言(npm.cmd/EINVAL-null 期望)平台误报；证据 linux-logs/linux-d1-unit-probe.*
D1-39,OS_MATRIX,probe(stdio),darwin,arm64,声明>=22,声明npm,声明zsh,non-tty,none,stdio,n/a,function,macOS/ARM npm 直启行为未验（声明支持路径）,BLOCKED,无 macOS/ARM 环境（声明支持路径）；解除=提供 macOS 测试机或 CI runner
D1-40,COMMON,probe(stdio),win32,x64,22.23.2,10.9.8,powershell,non-tty,fallback,stdio,n/a,mcp-stdio,受控夹具 latest=1.1.1/1.1.2<current 不提示倒退,PASS,
